"ID","sender","condition","age","gender","language","profession","subject","level_education","quality","comments"
"3136","Demographic control","B","23","female","german","student","subject01","degree","serious",""
"3135","Demographic control","A","34","male","german","employed_full","no_student","degree","serious",""
"3134","Demographic control","B","25","male","german","student","other","degree","serious","Ingenieurswissenschaften fehlen in der Aufzählung der Studiengänge."
"3133","Demographic control","A","20","male","german","student","other","higher","serious",""
"3132","Demographic control","B","36","male","german","employed_self","no_student","degree","serious","zwischendurch nach etwa drei Fragen hatte ich einen Fehler, wo die Seite auf einmal nicht mehr angezeigt wurde und es empfohlen wurde, zurückzugehen, woraufhin ich aber die ganze Studie noch einmal neu machen musste."
"3131","Demographic control","A","19","male","german","student","other","degree","serious",""
"3130","Demographic control","B","24","female","german","student","subject04","degree","serious",""
"3129","Demographic control","A","37","female","german","employed_full","no_student","degree","serious",""
"3128","Demographic control","B","18","male","german","apprentice","no_student","higher","serious",""
"3127","Demographic control","B","21","female","german","student","subject03","higher","serious",""
"3126","Demographic control","A","20","male","german","student","subject07","higher","serious",""
"3123","Demographic control","A","19","female","german","student","subject01","higher","serious",""
"3122","Demographic control","A","27","male","german","employed_full","no_student","vocation_train","serious",""
"3121","Demographic control","A","20","female","german","student","other","higher","serious",""
"3120","Demographic control","A","54","male","german","unemployed","no_student","other","serious",""
"3119","Demographic control","A","25","female","german","employed_part","no_student","vocation_train","serious",""
"3118","Demographic control","A","27","female","german","unemployed","no_student","vocation_train","serious",""
"3117","Demographic control","B","19","female","german","pupil","no_student","higher","serious",""
"3116","Demographic control","B","21","male","german","student","subject03","higher","serious",""
"3115","Demographic control","A","25","female","german","student","other","degree","serious",""
"3114","Demographic control","A","29","female","german","student","subject10","degree","serious",""
"3110","Demographic control","A","27","male","german","student","other","vocation_train","serious",""
"3108","Demographic control","B","23","female","german","student","subject09","higher","serious",""
"3107","Demographic control","A","19","female","german","student","subject07","higher","serious",""
"3106","Demographic control","B","21","female","german","student","other","higher","serious",""
"3105","Demographic control","B","31","female","german","employed_full","no_student","degree","serious",""
"3104","Demographic control","A","28","male","german","student","other","higher","serious",""
"3100","Demographic control","A","48","male","german","employed_full","no_student","degree","serious",""
"3099","Demographic control","B","19","male","german","student","no_ans","secondary","serious",""
"3097","Demographic control","A","23","male","german","student","subject01","degree","serious",""
"3096","Demographic control","A","34","male","german","employed_part","no_student","degree","serious",""
"3094","Demographic control","B","23","female","german","student","other","higher","serious",""
"3093","Demographic control","A","19","female","german","student","other","higher","serious",""
"3092","Demographic control","A","29","male","german","employed_self","no_student","degree","serious",""
"3091","Demographic control","A","23","female","german","student","subject09","higher","serious",""
"3090","Demographic control","A","53","female","german","employed_part","no_student","higher","serious",""
"3089","Demographic control","B","21","male","german","student","subject03","higher","serious",""
"3087","Demographic control","A","22","female","german","student","subject01","higher","serious",""
"3086","Demographic control","A","18","male","german","student","subject03","higher","serious",""
"3085","Demographic control","A","29","male","german","student","subject07","degree","serious",""
"3084","Demographic control","A","19","female","german","student","other","higher","serious",""
"3083","Demographic control","A","24","female","german","student","other","higher","serious",""
"3082","Demographic control","A","19","female","german","apprentice","no_student","higher","serious",""
"3081","Demographic control","A","32","male","german","employed_self","no_student","degree","serious",""
"3080","Demographic control","A","23","female","german","student","subject07","degree","serious",""
"3079","Demographic control","A","18","female","german","no_ans","no_student","higher","serious",""
"3078","Demographic control","B","19","female","german","student","subject10","higher","serious",""
"3077","Demographic control","A","20","female","german","student","other","higher","serious",""
"3076","Demographic control","B","19","female","german","student","subject04","higher","serious",""
"3075","Demographic control","B","36","male","german","unemployed","no_student","higher","serious",""
"3073","Demographic control","A","18","female","german","pupil","other","secondary","serious",""
"3072","Demographic control","B","35","male","german","unemployed","no_student","degree","serious",""
"3071","Demographic control","B","21","male","german","unemployed","no_student","higher","serious",""
"3069","Demographic control","B","24","female","german","student","other","degree","serious",""
"3068","Demographic control","A","25","male","german","student","other","higher","serious",""
"3067","Demographic control","A","37","male","german","employed_full","no_student","higher","serious",""
"3066","Demographic control","A","60","female","german","other","no_student","higher","serious",""
"3065","Demographic control","B","31","male","german","no_ans","no_student","degree","serious",""
"3064","Demographic control","A","22","male","german","student","subject03","higher","serious",""
"3063","Demographic control","A","20","female","german","student","subject04","higher","serious",""
"3062","Demographic control","B","37","male","german","employed_full","no_student","degree","serious",""
"3061","Demographic control","A","35","female","german","employed_part","no_student","higher","serious",""
"3060","Demographic control","A","23","female","german","student","subject08","higher","serious",""
"3058","Demographic control","A","27","male","german","employed_self","no_student","vocation_train","serious",""
"3057","Demographic control","B","20","female","german","student","subject10","higher","serious",""
"3055","Demographic control","B","38","female","german","employed_full","no_student","degree","serious",""
"3054","Demographic control","B","20","female","german","student","other","higher","serious",""
"3053","Demographic control","B","25","female","german","student","subject10","vocation_train","serious",""
"3051","Demographic control","B","20","female","german","student","subject07","higher","serious",""
"3050","Demographic control","A","19","female","german","student","subject06","higher","serious",""
"3049","Demographic control","B","19","female","german","student","other","higher","serious",""
"3048","Demographic control","B","19","female","german","student","other","higher","serious",""
"3047","Demographic control","B","21","female","german","other","no_student","higher","serious",""
"3045","Demographic control","B","22","female","german","student","subject08","higher","serious",""
"3043","Demographic control","B","19","female","german","student","other","higher","serious",""
"3042","Demographic control","B","40","male","german","employed_full","no_student","degree","serious",""
"3041","Demographic control","A","21","female","german","student","other","higher","serious",""
