"mean_correct","mean_type1","mean_type2","mean_type3","event_types","sample_size","noise_term","check"
0.7331248,0.0113981,0,0.2554771,"edge event sets",1,0,1
0.5940985,0.005666398,0.3272697,0.07296541,"edge event sets",2,0,1.000000008
0.5377335,0.003224185,0.4310092,0.02803303,"edge event sets",3,0,0.999999915
0.509385,0.001983939,0.4757242,0.01290681,"edge event sets",4,0,0.999999949
0.4961175,0.001302074,0.4958216,0.006758857,"edge event sets",5,0,1.000000031
0.491637,0.0009006583,0.5035684,0.003893904,"edge event sets",6,0,0.9999999623
0.4924429,0.0006503846,0.504492,0.002414678,"edge event sets",7,0,0.9999999626
0.4964718,0.0004864999,0.5014546,0.001587036,"edge event sets",8,0,0.9999999359
0.5024639,0.0003746361,0.4960685,0.001093048,"edge event sets",9,0,1.0000000841
0.509629,0.000295547,0.4892933,0.000782148,"edge event sets",10,0,0.999999995
0.517462,0.0002379352,0.4817224,0.0005776443,"edge event sets",11,0,0.9999999795
0.5256348,0.0001948862,0.4737323,0.0004380341,"edge event sets",12,0,1.0000000203
0.5339328,0.0001620091,0.4655655,0.0003396704,"edge event sets",13,0,0.9999999795
0.5422152,0.0001364229,0.4573799,0.0002684711,"edge event sets",14,0,0.999999994
0.5503898,0.0001161818,0.4492783,0.0002157211,"edge event sets",15,0,1.0000000029
0.5583973,9.993755e-05,0.4413269,0.0001758424,"edge event sets",16,0,0.99999997995
0.5662006,8.67345e-05,0.4335675,0.0001451573,"edge event sets",17,0,0.9999999918
0.5737776,7.588135e-05,0.4260253,0.0001211764,"edge event sets",18,0,0.99999995775
0.5811167,6.686894e-05,0.4187142,0.0001021749,"edge event sets",19,0,0.99999994384
0.5882134,5.93162e-05,0.4116403,8.693285e-05,"edge event sets",20,0,0.99999994905
0.6201641,3.532346e-05,0.3797574,4.32343e-05,"edge event sets",25,0,1.00000005776
0.6468949,2.327792e-05,0.3530572,2.463689e-05,"edge event sets",30,0,1.00000001481
0.669429,1.645113e-05,0.3305391,1.544874e-05,"edge event sets",35,0,0.99999999987
0.6886418,1.221497e-05,0.3113356,1.039006e-05,"edge event sets",40,0,1.00000000503
0.7052124,9.39628e-06,0.2947709,7.363172e-06,"edge event sets",45,0,1.000000059452
0.7196576,7.416217e-06,0.2803296,5.428581e-06,"edge event sets",50,0,1.000000044798
