"mean_correct","mean_type1","mean_type2","event_types","sample_size","noise_term","check"
0.4498217,0.1003565,0.4498217,"edge event sets",1,0,0.9999999
0.5018768,0.03486527,0.4632579,"edge event sets",2,0,0.99999997
0.5271603,0.01500251,0.4578371,"edge event sets",3,0,0.99999991
0.5457779,0.007558823,0.4466632,"edge event sets",4,0,0.999999923
0.5616226,0.004272155,0.4341052,"edge event sets",5,0,0.999999955
0.5757692,0.002632289,0.4215985,"edge event sets",6,0,0.999999989
0.5886318,0.001733622,0.4096346,"edge event sets",7,0,1.000000022
0.6004291,0.001203263,0.3983676,"edge event sets",8,0,0.999999963
0.6113075,0.0008709642,0.3878215,"edge event sets",9,0,0.9999999642
0.6213793,0.0006522847,0.3779684,"edge event sets",10,0,0.9999999847
0.6307364,0.0005023899,0.3687612,"edge event sets",11,0,0.9999999899
0.6394563,0.0003960743,0.3601476,"edge event sets",12,0,0.9999999743
0.6476056,0.0003184605,0.3520759,"edge event sets",13,0,0.9999999605
0.6552418,0.00026039,0.3444978,"edge event sets",14,0,0.99999999
0.662415,0.0002160152,0.337369,"edge event sets",15,0,1.0000000152
0.6691688,0.000181481,0.3306497,"edge event sets",16,0,0.999999981
0.6755416,0.0001541733,0.3243042,"edge event sets",17,0,0.9999999733
0.6815671,0.0001322751,0.3183006,"edge event sets",18,0,0.9999999751
0.6872752,0.0001144952,0.3126103,"edge event sets",19,0,0.9999999952
0.6926922,9.989782e-05,0.3072079,"edge event sets",20,0,0.99999999782
0.7161538,5.563357e-05,0.2837906,"edge event sets",25,0,1.00000003357
0.7350021,3.491133e-05,0.264963,"edge event sets",30,0,1.00000001133
0.7505645,2.377846e-05,0.2494117,"edge event sets",35,0,0.99999997846
0.7636913,1.716229e-05,0.2362915,"edge event sets",40,0,0.99999996229
0.7749552,1.291445e-05,0.2250319,"edge event sets",45,0,1.00000001445
0.7847572,1.001794e-05,0.2152328,"edge event sets",50,0,1.00000001794
