"mean_correct","mean_type1","mean_type2","event_types","sample_size","noise_term","check"
0.351987,0.296025968,0.351987,"edge event sets",1,0.3,0.999999968
0.3797203,0.263010626,0.357269,"edge event sets",2,0.3,0.999999926
0.4008228,0.23155121,0.367626,"edge event sets",3,0.3,1.00000001
0.4184934,0.204060254,0.3774464,"edge event sets",4,0.3,1.000000054
0.4332685,0.179991016,0.3867405,"edge event sets",5,0.3,1.000000016
0.4457142,0.158943756,0.395342,"edge event sets",6,0.3,0.999999956
0.4562647,0.14053245,0.4032028,"edge event sets",7,0.3,0.99999995
0.4652668,0.124414963,0.4103182,"edge event sets",8,0.3,0.999999963
0.4729991,0.110292366,0.4167085,"edge event sets",9,0.3,0.999999966
0.4796865,0.097904985,0.4224085,"edge event sets",10,0.3,0.999999985
0.485511,0.087027778,0.4274613,"edge event sets",11,0.3,1.000000078
0.4906203,0.077465872,0.4319138,"edge event sets",12,0.3,0.999999972
0.495135,0.069050521,0.4358144,"edge event sets",13,0.3,0.999999921
0.4991534,0.061635557,0.4392111,"edge event sets",14,0.3,1.000000057
0.5027559,0.055094295,0.4421498,"edge event sets",15,0.3,0.999999995
0.5060088,0.049316858,0.4446744,"edge event sets",16,0.3,1.000000058
0.5089665,0.044207878,0.4468256,"edge event sets",17,0.3,0.999999978
0.511674,0.039684503,0.4486415,"edge event sets",18,0.3,1.000000003
0.5141686,0.035674696,0.4501567,"edge event sets",19,0.3,0.999999996
0.5164813,0.032115765,0.451403,"edge event sets",20,0.3,1.000000065
0.5258627,0.019492015,0.4546453,"edge event sets",25,0.3,1.000000015
0.5336612,0.012137859,0.4542009,"edge event sets",30,0.3,0.999999959
0.5401187,0.007859889,0.4520214,"edge event sets",35,0.3,0.999999989
0.5458833,0.005260033,0.4488567,"edge event sets",40,0.3,1.000000033
0.5511725,0.003631435,0.445196,"edge event sets",45,0.3,0.999999935
0.5561072,0.002581034,0.4413118,"edge event sets",50,0.3,1.000000034
