"mean_correct","mean_type1","mean_type2","mean_type3","event_types","sample_size","noise_term","check"
0.3769193,0.123109,0,0.49997167,"middle event sets",1,0.3,0.99999997
0.2746367,0.129766,0.1306934,0.4649039,"middle event sets",2,0.3,1
0.2457149,0.1522186,0.1901782,0.4118883,"middle event sets",3,0.3,1
0.2338283,0.1650234,0.2289942,0.37215407,"middle event sets",4,0.3,0.99999997
0.2296178,0.1749099,0.2549702,0.34050205,"middle event sets",5,0.3,0.99999995
0.2288535,0.1823047,0.273863,0.31497881,"middle event sets",6,0.3,1.00000001
0.2299347,0.1880532,0.2881482,0.2938639,"middle event sets",7,0.3,1
0.2320268,0.1925786,0.2993493,0.27604529,"middle event sets",8,0.3,0.99999999
0.234697,0.1961834,0.3083685,0.26075109,"middle event sets",9,0.3,0.99999999
0.237698,0.1990726,0.3157919,0.24743742,"middle event sets",10,0.3,0.99999992
0.2408837,0.2013947,0.322012,0.23570962,"middle event sets",11,0.3,1.00000002
0.2441644,0.2032588,0.3273024,0.22527435,"middle event sets",12,0.3,0.99999995
0.2474842,0.2047478,0.3318592,0.21590874,"middle event sets",13,0.3,0.99999994
0.2508073,0.2059257,0.3358268,0.20744024,"middle event sets",14,0.3,1.00000004
0.2541106,0.2068428,0.3393138,0.19973291,"middle event sets",15,0.3,1.00000011
0.2573794,0.2075392,0.3424033,0.1926781,"middle event sets",16,0.3,1
0.2606046,0.2080475,0.3451601,0.18618776,"middle event sets",17,0.3,0.99999996
0.2637804,0.2083945,0.3476355,0.18018972,"middle event sets",18,0.3,1.00000012
0.2669035,0.208602,0.3498704,0.17462415,"middle event sets",19,0.3,1.00000005
0.2699722,0.2086885,0.3518982,0.16944101,"middle event sets",20,0.3,0.99999991
0.2845047,0.2077764,0.3597373,0.1479816,"middle event sets",25,0.3,1
0.2977894,0.2054242,0.3650435,0.13174288,"middle event sets",30,0.3,0.99999998
0.3100076,0.2022815,0.3688086,0.11890232,"middle event sets",35,0.3,1.00000002
0.3213239,0.1987032,0.3715475,0.10842532,"middle event sets",40,0.3,0.99999992
0.3318722,0.1948966,0.3735574,0.09967378,"middle event sets",45,0.3,0.99999998
0.3417588,0.1909883,0.3750237,0.09222911,"middle event sets",50,0.3,0.99999991
