"mean_correct","mean_type1","mean_type2","event_types","sample_size","noise_term","check"
0.3412421,0.31751586,0.3412421,"middle event sets",1,0,1.00000006
0.3545238,0.3027643,0.3427119,"middle event sets",2,0,1
0.3660863,0.28837276,0.345541,"middle event sets",3,0,1.00000006
0.3769408,0.27528117,0.347778,"middle event sets",4,0,0.99999997
0.3871387,0.26331631,0.349545,"middle event sets",5,0,1.00000001
0.3967626,0.25235354,0.3508839,"middle event sets",6,0,1.00000004
0.4058727,0.24227458,0.3518527,"middle event sets",7,0,0.99999998
0.4145191,0.23297698,0.3525039,"middle event sets",8,0,0.99999998
0.4227442,0.22437284,0.352883,"middle event sets",9,0,1.00000004
0.4305845,0.21638677,0.3530287,"middle event sets",10,0,0.99999997
0.4380721,0.20895389,0.352974,"middle event sets",11,0,0.99999999
0.4452349,0.20201814,0.352747,"middle event sets",12,0,1.00000004
0.4520977,0.19553081,0.3523715,"middle event sets",13,0,1.00000001
0.4586825,0.18944942,0.351868,"middle event sets",14,0,0.99999992
0.4650092,0.18373672,0.3512541,"middle event sets",15,0,1.00000002
0.4710952,0.17835992,0.3505449,"middle event sets",16,0,1.00000002
0.4769566,0.17329005,0.3497533,"middle event sets",17,0,0.99999995
0.4826078,0.16850138,0.3488908,"middle event sets",18,0,0.99999998
0.4880619,0.16397102,0.3479671,"middle event sets",19,0,1.00000002
0.4933307,0.1596785,0.3469908,"middle event sets",20,0,1
0.5172474,0.14120156,0.341551,"middle event sets",25,0,0.99999996
0.5378402,0.12655984,0.3356,"middle event sets",30,0,1.00000004
0.5558406,0.11466886,0.3294905,"middle event sets",35,0,0.99999996
0.5717668,0.10481872,0.3234145,"middle event sets",40,0,1.00000002
0.5859989,0.09652492,0.3174762,"middle event sets",45,0,1.00000002
0.5988239,0.08944534,0.3117307,"middle event sets",50,0,0.99999994
