"mean_correct","mean_type1","mean_type2","event_types","sample_size","noise_term","check"
0.3345987,0.3308025,0.3345987,"middle event sets",1,0.3,0.9999999
0.3367981,0.328299,0.3349029,"middle event sets",2,0.3,1
0.3388004,0.3256091,0.3355906,"middle event sets",3,0.3,1.0000001
0.3407923,0.3229608,0.3362469,"middle event sets",4,0.3,1
0.3427572,0.3203447,0.336898,"middle event sets",5,0.3,0.9999999
0.3446995,0.3177668,0.3375337,"middle event sets",6,0.3,1
0.34662,0.3152274,0.3381526,"middle event sets",7,0.3,1
0.3485193,0.3127265,0.3387541,"middle event sets",8,0.3,0.9999999
0.3503981,0.3102638,0.3393381,"middle event sets",9,0.3,1
0.352257,0.3078385,0.3399046,"middle event sets",10,0.3,1.0000001
0.3540962,0.30545,0.3404538,"middle event sets",11,0.3,1
0.3559164,0.3030975,0.3409861,"middle event sets",12,0.3,1
0.3577178,0.3007803,0.3415019,"middle event sets",13,0.3,1
0.3595009,0.2984977,0.3420014,"middle event sets",14,0.3,1
0.3612661,0.2962489,0.3424851,"middle event sets",15,0.3,1.0000001
0.3630136,0.2940332,0.3429532,"middle event sets",16,0.3,1
0.3647439,0.2918498,0.3434062,"middle event sets",17,0.3,0.9999999
0.3664573,0.2896982,0.3438444,"middle event sets",18,0.3,0.9999999
0.3681541,0.2875776,0.3442682,"middle event sets",19,0.3,0.9999999
0.3698346,0.2854874,0.3446779,"middle event sets",20,0.3,0.9999999
0.3780032,0.2754701,0.3465266,"middle event sets",25,0.3,0.9999999
0.3858065,0.266123,0.3480705,"middle event sets",30,0.3,1
0.3932746,0.2573813,0.349344,"middle event sets",35,0.3,0.9999999
0.400434,0.2491884,0.3503776,"middle event sets",40,0.3,1
0.4073079,0.2414944,0.3511977,"middle event sets",45,0.3,1
0.4139169,0.2342553,0.3518278,"middle event sets",50,0.3,1
