"mean_correct","mean_type1","mean_type2","mean_type3","event_types","sample_size","noise_term","check"
0.3902835,0.11015029,0,0.49956619,"mixed event sets",1,0.3,0.99999998
0.2832079,0.10972875,0.1698268,0.43723657,"mixed event sets",2,0.3,1.00000002
0.2650427,0.12053569,0.2447588,0.36966279,"mixed event sets",3,0.3,0.99999998
0.2664205,0.12306703,0.2927013,0.31781125,"mixed event sets",4,0.3,1.00000008
0.2765928,0.12285814,0.3234114,0.27713767,"mixed event sets",5,0.3,1.00000001
0.2905155,0.12077106,0.3442617,0.24445177,"mixed event sets",6,0.3,1.00000003
0.3062561,0.11761508,0.3585213,0.21760755,"mixed event sets",7,0.3,1.00000003
0.3228075,0.11382952,0.3682106,0.19515236,"mixed event sets",8,0.3,0.99999998
0.3396382,0.10969839,0.3745758,0.17608762,"mixed event sets",9,0.3,1.00000001
0.3564444,0.10540342,0.3784493,0.15970291,"mixed event sets",10,0.3,1.00000003
0.3730474,0.10106416,0.3804099,0.14547854,"mixed event sets",11,0.3,1
0.3893398,0.09675961,0.3808761,0.13302446,"mixed event sets",12,0.3,0.99999997
0.4052573,0.09254195,0.3801593,0.12204145,"mixed event sets",13,0.3,1
0.4207621,0.0884451,0.3784973,0.1122955,"mixed event sets",14,0.3,1
0.4358335,0.08449043,0.3760755,0.10360056,"mixed event sets",15,0.3,0.99999999
0.4504622,0.08069059,0.3730407,0.09580655,"mixed event sets",16,0.3,1.00000004
0.4646463,0.07705209,0.3695108,0.08879084,"mixed event sets",17,0.3,1.00000003
0.4783889,0.07357714,0.3655818,0.08245214,"mixed event sets",18,0.3,0.99999998
0.4916966,0.07026494,0.3613326,0.07670591,"mixed event sets",19,0.3,1.00000005
0.5045782,0.0671126,0.3568282,0.07148099,"mixed event sets",20,0.3,0.99999999
0.5629847,0.05357122,0.3321043,0.05133978,"mixed event sets",25,0.3,1
0.6124999,0.04316927,0.3063486,0.03798224,"mixed event sets",30,0.3,1.00000001
0.6545765,0.03517344,0.2814786,0.02877147,"mixed event sets",35,0.3,1.00000001
0.6904745,0.02898833,0.2583068,0.02223039,"mixed event sets",40,0.3,1.00000002
0.7212427,0.02416266,0.2371201,0.01747451,"mixed event sets",45,0.3,0.99999997
0.7477417,0.02036178,0.2179486,0.01394792,"mixed event sets",50,0.3,1
