"mean_correct","mean_type1","mean_type2","event_types","sample_size","noise_term","check"
0.3433054,0.31338912,0.3433054,"mixed event sets",1,0.3,0.99999992
0.3609169,0.29424795,0.3448352,"mixed event sets",2,0.3,1.00000005
0.3770016,0.27520647,0.3477919,"mixed event sets",3,0.3,0.99999997
0.3927281,0.2575776,0.3496943,"mixed event sets",4,0.3,1
0.4080606,0.24125677,0.3506827,"mixed event sets",5,0.3,1.00000007
0.4230086,0.22615973,0.3508317,"mixed event sets",6,0.3,1.00000003
0.4375726,0.21219118,0.3502362,"mixed event sets",7,0.3,0.99999998
0.4517524,0.19925872,0.3489889,"mixed event sets",8,0.3,1.00000002
0.4655486,0.18727643,0.347175,"mixed event sets",9,0.3,1.00000003
0.4789634,0.17616538,0.3448712,"mixed event sets",10,0.3,0.99999998
0.4920003,0.16585349,0.3421462,"mixed event sets",11,0.3,0.99999999
0.5046639,0.1562751,0.339061,"mixed event sets",12,0.3,1
0.5169599,0.14737042,0.3356697,"mixed event sets",13,0.3,1.00000002
0.5288948,0.13908505,0.3320202,"mixed event sets",14,0.3,1.00000005
0.5404757,0.13136944,0.3281549,"mixed event sets",15,0.3,1.00000004
0.5517103,0.12417848,0.3241113,"mixed event sets",16,0.3,1.00000008
0.5626067,0.11747103,0.3199223,"mixed event sets",17,0.3,1.00000003
0.5731734,0.11120957,0.315617,"mixed event sets",18,0.3,0.99999997
0.583419,0.10535983,0.3112212,"mixed event sets",19,0.3,1.00000003
0.5933522,0.09989051,0.3067572,"mixed event sets",20,0.3,0.99999991
0.6386425,0.07732843,0.2840291,"mixed event sets",25,0.3,1.00000003
0.6774262,0.06086199,0.2617118,"mixed event sets",30,0.3,0.99999999
0.7106971,0.04864351,0.2406593,"mixed event sets",35,0.3,0.99999991
0.739323,0.03943792,0.2212391,"mixed event sets",40,0.3,1.00000002
0.7640413,0.03240388,0.2035548,"mixed event sets",45,0.3,0.99999998
0.7854704,0.0269582,0.1875714,"mixed event sets",50,0.3,1
