"sample_size","mean_correct","mean_type1","mean_type2"
1,0.449819118450789,0.100361763098422,0.449819118450789
2,0.501796764520836,0.0349112930938601,0.463291942385304
3,0.527048892246991,0.0150982514650415,0.457852856287968
4,0.545777537416422,0.00765302156533182,0.446569441018246
5,0.5618402445218,0.0043515655267935,0.433808189951406
6,0.576265407782739,0.00269625034621779,0.421038341871043
7,0.589435412532589,0.00178462724395144,0.408779960223459
8,0.601549442954522,0.00124416137380763,0.39720639567167
9,0.612742105378582,0.000904184931742188,0.386353709689676
10,0.623118603097766,0.000679697829814961,0.376201699072419
11,0.632766773382313,0.000525368623617271,0.36670785799407
12,0.641762026495123,0.000415605002243816,0.357822368502633
13,0.650169892256407,0.000335247484716492,0.349494860258876
14,0.658047657755162,0.000274940145046632,0.341677402099791
15,0.665445593225178,0.000228700118780606,0.334325706656041
16,0.672407944794733,0.00019258077870089,0.327399474426566
17,0.678973766229177,0.000163906165081785,0.32086232760574
18,0.685177624875768,0.000140816811864416,0.314681558312366
19,0.691050203517926,0.00012199179704227,0.30882780468503
20,0.696618814253923,0.000106473872403394,0.303274711873671
