"sample_size","mean_correct","mean_type1","mean_type2"
1,0.334611,0.3307781,0.334611
2,0.3368314,0.3282508,0.3349178
3,0.3388526,0.3255361,0.3356113
4,0.340863,0.3228643,0.3362728
5,0.3428458,0.3202256,0.3369286
6,0.3448054,0.3176261,0.3375685
7,0.3467428,0.3150661,0.3381911
8,0.3486586,0.3125456,0.3387958
9,0.3505534,0.3100642,0.3393824
10,0.3524279,0.3076211,0.339951
11,0.3542824,0.3052156,0.340502
12,0.3561174,0.302847,0.3410356
13,0.3579333,0.3005145,0.3415522
14,0.3597306,0.2982173,0.3420522
15,0.3615095,0.2959546,0.3425359
16,0.3632706,0.2937257,0.3430037
17,0.365014,0.2915299,0.343456
18,0.3667403,0.2893665,0.3438932
19,0.3684497,0.2872346,0.3443157
20,0.3701425,0.2851338,0.3447237
