"sample_size","mean_correct","mean_type1","mean_type2"
1,0.3411196,0.3177608,0.3411196
2,0.3542018,0.3032343,0.3425639
3,0.3655961,0.2890605,0.3453433
4,0.3762977,0.276165,0.3475374
5,0.3863564,0.2643771,0.3492665
6,0.3958531,0.2535739,0.3505731
7,0.4048462,0.2436387,0.351515
8,0.4133846,0.2344707,0.3521447
9,0.4215093,0.2259832,0.3525075
10,0.4292559,0.2181021,0.352642
11,0.4366555,0.2107634,0.3525811
12,0.4437351,0.2039122,0.3523527
13,0.4505191,0.1975006,0.3519803
14,0.4570288,0.191487,0.3514842
15,0.4632834,0.1858348,0.3508817
16,0.4693003,0.1805121,0.3501876
17,0.4750949,0.1754904,0.3494147
18,0.4806816,0.1707445,0.3485739
19,0.486073,0.1662521,0.3476749
20,0.4912809,0.1619931,0.346726
