"ID","between_subject_condition","within_subject_condition","f00","duration","presentation_order","eveTopleft","eveTopright","eveDownleft","eveDownright","rank_1","rank_2","rank_3","rank_4","if_there_are_errors","error_type","if_there_are_ties","classify_all_ranks"
"5298","ties_allowed","mixed","1",18025.767999997,"a_b_B_A","indiff11_neg","plau1_neg","plau1_pos","indiff11_pos","plau1_pos","indiff11_neg","indiff11_pos","plau1_neg",0,NA,0,"logical"
"5298","ties_allowed","edge","2",18285.044000003,"a_A_B_b","plau6_neg","plau6_pos","impl2_pos","impl2_neg","plau6_pos","impl2_neg","plau6_neg","impl2_pos",1,0,0,"type_2"
"5298","ties_allowed","edge","3",15439.993,"a_B_A_b","impl4_neg","plau5_pos","impl4_pos","plau5_neg","plau5_pos","impl4_neg","plau5_neg","impl4_pos",1,0,0,"type_2"
"5298","ties_allowed","middle","4",20193.001999994,"a_b_B_A","indiff4_neg","indiff7_neg","indiff7_pos","indiff4_pos","indiff7_neg","indiff7_pos","indiff4_pos","indiff4_neg",1,1,0,"type_1"
"5298","ties_allowed","middle","5",14460.889999994,"a_B_b_A","indiff12_neg","indiff2_pos","indiff2_neg","indiff12_pos","indiff12_neg","indiff12_pos","indiff2_neg","indiff2_pos",1,1,0,"type_1"
"5298","ties_allowed","mixed","6",15862.984,"A_b_a_B","indiff5_pos","impl6_neg","indiff5_neg","impl6_pos","indiff5_pos","impl6_neg","indiff5_neg","impl6_pos",1,0,0,"type_2"
"5298","ties_allowed","middle","8",18163.7159999911,"A_a_B_b","indiff9_pos","indiff9_neg","indiff6_pos","indiff6_neg","indiff6_pos","indiff6_neg","indiff9_neg","indiff9_pos",1,1,0,"type_1"
"5298","ties_allowed","mixed","9",13643.574999991,"A_a_B_b","plau4_pos","plau4_neg","indiff3_pos","indiff3_neg","plau4_pos","indiff3_pos","plau4_neg","indiff3_neg",1,0,0,"type_2"
"5298","ties_allowed","middle","10",14494.2809999941,"a_b_B_A","indiff1_neg","indiff10_neg","indiff10_pos","indiff1_pos","indiff10_pos","indiff1_neg","indiff10_neg","indiff1_pos",1,0,0,"type_2"
"5298","ties_allowed","edge","11",15049.721999994,"A_b_a_B","impl3_pos","impl5_neg","impl3_neg","impl5_pos","impl3_neg","impl5_neg","impl5_pos","impl3_pos",0,NA,0,"logical"
"5298","ties_allowed","edge","12",21244.969999994,"A_B_a_b","plau2_pos","plau3_pos","plau2_neg","plau3_neg","plau2_pos","plau3_pos","plau3_neg","plau2_neg",0,NA,0,"logical"
"5298","ties_allowed","mixed","13",8787.92699999403,"A_B_b_a","indiff8_pos","impl1_pos","impl1_neg","indiff8_neg","impl1_neg","indiff8_neg","indiff8_pos","impl1_pos",0,NA,0,"logical"
"5384","ties_allowed","mixed","1",24601.2660000001,"a_b_A_B","plau3_neg","indiff3_neg","plau3_pos","indiff3_pos","indiff3_neg","indiff3_pos","plau3_pos","plau3_neg",1,1,0,"type_1"
"5384","ties_allowed","middle","2",11847.284,"A_B_b_a","indiff4_pos","indiff8_pos","indiff8_neg","indiff4_neg","indiff8_pos","indiff4_pos","indiff8_neg","indiff4_neg",1,0,0,"type_2"
"5384","ties_allowed","mixed","3",12104.1920000001,"A_a_B_b","impl1_pos","impl1_neg","indiff5_pos","indiff5_neg","impl1_neg","indiff5_neg","indiff5_pos","impl1_pos",0,NA,0,"logical"
"5384","ties_allowed","mixed","4",10713.6439999999,"a_B_b_A","impl2_neg","indiff9_pos","indiff9_neg","impl2_pos","impl2_neg","indiff9_pos","indiff9_neg","impl2_pos",0,NA,0,"logical"
"5384","ties_allowed","middle","5",13036.1060000001,"a_b_A_B","indiff7_neg","indiff12_neg","indiff7_pos","indiff12_pos","indiff7_pos","indiff12_neg","indiff7_neg","indiff12_pos",1,0,0,"type_2"
"5384","ties_allowed","edge","6",8904.1620000001,"A_b_B_a","plau4_pos","plau5_neg","plau5_pos","plau4_neg","plau4_pos","plau5_pos","plau4_neg","plau5_neg",1,0,0,"type_2"
"5384","ties_allowed","edge","8",18704.9300000001,"a_b_B_A","impl6_neg","impl3_neg","impl3_pos","impl6_pos","impl3_neg","impl6_neg","impl6_pos","impl3_pos",0,NA,0,"logical"
"5384","ties_allowed","mixed","9",13576.8120000001,"a_A_b_B","indiff6_neg","indiff6_pos","plau6_neg","plau6_pos","plau6_pos","indiff6_neg","indiff6_pos","plau6_neg",0,NA,0,"logical"
"5384","ties_allowed","edge","10",11756.4559999999,"A_a_B_b","plau1_pos","plau1_neg","impl4_pos","impl4_neg","plau1_pos","impl4_neg","plau1_neg","impl4_pos",1,0,0,"type_2"
"5384","ties_allowed","middle","12",14469.1260000001,"A_b_B_a","indiff10_pos","indiff11_neg","indiff11_pos","indiff10_neg","indiff11_neg","indiff10_neg","indiff10_pos","indiff11_pos",0,NA,0,"logical"
"5384","ties_allowed","edge","13",11896.572,"a_B_A_b","plau2_neg","impl5_pos","plau2_pos","impl5_neg","plau2_pos","impl5_neg","plau2_neg","impl5_pos",1,0,0,"type_2"
"5307","ties_allowed","middle","1",23557.168999994,"A_B_b_a","indiff6_pos","indiff11_pos","indiff11_neg","indiff6_neg","indiff6_pos","indiff11_neg","indiff11_pos","indiff6_neg",0,NA,0,"logical"
"5307","ties_allowed","edge","2",20994.123999994,"a_B_A_b","plau2_neg","impl1_pos","plau2_pos","impl1_neg","plau2_pos","impl1_neg","plau2_neg","impl1_pos",1,0,0,"type_2"
"5307","ties_allowed","edge","3",16098.570999997,"A_B_a_b","plau6_pos","impl3_pos","plau6_neg","impl3_neg","plau6_pos","impl3_neg","plau6_neg","impl3_pos",1,0,0,"type_2"
"5307","ties_allowed","mixed","4",18754.7079999881,"a_b_A_B","indiff2_neg","impl2_neg","indiff2_pos","impl2_pos","impl2_neg","indiff2_pos","indiff2_neg","impl2_pos",0,NA,0,"logical"
"5307","ties_allowed","mixed","6",12291.248999994,"a_A_B_b","plau4_neg","plau4_pos","indiff7_pos","indiff7_neg","plau4_pos","indiff7_pos","indiff7_neg","plau4_neg",0,NA,0,"logical"
"5307","ties_allowed","middle","8",15225.5939999881,"a_A_b_B","indiff1_neg","indiff1_pos","indiff4_neg","indiff4_pos","indiff1_pos","indiff1_neg","indiff4_pos","indiff4_neg",1,1,0,"type_1"
"5307","ties_allowed","middle","9",15741.821999994,"a_A_b_B","indiff3_neg","indiff3_pos","indiff9_neg","indiff9_pos","indiff9_neg","indiff3_pos","indiff3_neg","indiff9_pos",0,NA,0,"logical"
"5307","ties_allowed","edge","10",12420.230999997,"a_A_B_b","impl4_neg","impl4_pos","impl5_pos","impl5_neg","impl4_neg","impl5_neg","impl5_pos","impl4_pos",0,NA,0,"logical"
"5307","ties_allowed","mixed","11",10714.5389999941,"A_b_B_a","indiff12_pos","plau1_neg","plau1_pos","indiff12_neg","indiff12_neg","indiff12_pos","plau1_pos","plau1_neg",1,1,0,"type_1"
"5220","ties_allowed","mixed","1",19833,"A_a_b_B","impl5_pos","impl5_neg","indiff3_neg","indiff3_pos","indiff3_pos","impl5_neg","indiff3_neg","impl5_pos",1,0,0,"type_2"
"5220","ties_allowed","edge","2",21643,"A_b_a_B","plau1_pos","plau4_neg","plau1_neg","plau4_pos","plau1_pos","plau4_pos","plau4_neg","plau1_neg",0,NA,0,"logical"
"5220","ties_allowed","edge","3",15256,"A_B_b_a","impl4_pos","plau5_pos","plau5_neg","impl4_neg","plau5_pos","impl4_neg","plau5_neg","impl4_pos",1,0,0,"type_2"
"5220","ties_allowed","edge","4",17466,"a_b_A_B","impl2_neg","plau2_neg","impl2_pos","plau2_pos","impl2_neg","plau2_pos","plau2_neg","impl2_pos",0,NA,0,"logical"
"5220","ties_allowed","middle","5",18568,"A_a_b_B","indiff10_pos","indiff10_neg","indiff1_neg","indiff1_pos","indiff10_pos","indiff1_pos","indiff1_neg","indiff10_neg",0,NA,0,"logical"
"5220","ties_allowed","mixed","6",15931,"A_B_b_a","plau6_pos","indiff11_pos","indiff11_neg","plau6_neg","plau6_pos","indiff11_neg","indiff11_pos","plau6_neg",0,NA,0,"logical"
"5220","ties_allowed","mixed","8",18845,"A_B_b_a","indiff5_pos","plau3_pos","plau3_neg","indiff5_neg","indiff5_neg","plau3_neg","plau3_pos","indiff5_pos",0,NA,0,"logical"
"5220","ties_allowed","mixed","9",18376,"a_b_B_A","indiff2_neg","impl6_neg","impl6_pos","indiff2_pos","impl6_neg","indiff2_neg","indiff2_pos","impl6_pos",0,NA,0,"logical"
"5220","ties_allowed","middle","10",27162,"a_A_B_b","indiff8_neg","indiff8_pos","indiff9_pos","indiff9_neg","indiff9_pos","indiff8_neg","indiff8_pos","indiff9_neg",0,NA,0,"logical"
"5220","ties_allowed","edge","11",12889,"A_a_b_B","impl3_pos","impl3_neg","impl1_neg","impl1_pos","impl3_neg","impl1_neg","impl1_pos","impl3_pos",0,NA,0,"logical"
"5220","ties_allowed","middle","12",13107,"A_B_b_a","indiff7_pos","indiff4_pos","indiff4_neg","indiff7_neg","indiff4_pos","indiff7_pos","indiff4_neg","indiff7_neg",1,0,0,"type_2"
"5220","ties_allowed","middle","13",48484,"A_a_b_B","indiff12_pos","indiff12_neg","indiff6_neg","indiff6_pos","indiff6_pos","indiff12_neg","indiff12_pos","indiff6_neg",0,NA,0,"logical"
"5297","ties_allowed","mixed","1",19195.6720000119,"a_b_B_A","indiff11_neg","impl1_neg","impl1_pos","indiff11_pos","impl1_neg","indiff11_pos","indiff11_neg","impl1_pos",0,NA,0,"logical"
