"ID","sender","condition","age","gender","language","profession","subject","level_education","quality","comments"
"5298","Demographic control","A","39","male","german","employed_part","no_student","vocation_train","serious",""
"5368","Demographic control","B","27","male","german","employed_part","no_student","higher","serious",""
"5211","Demographic control","B","24","female","german","apprentice","no_student","higher","serious",""
"5394","Demographic control","B","22","non-binary","german","student","other","higher","serious",""
"5327","Demographic control","B","19","male","german","pupil","no_student","higher","serious",""
"5384","Demographic control","A","24","male","german","employed_full","no_student","degree","serious",""
"5307","Demographic control","A","21","male","german","student","subject03","higher","serious","Nein hat alles gepasst"
"5280","Demographic control","B","33","female","german","employed_full","no_student","degree","serious",""
"5220","Demographic control","A","20","female","german","student","subject04","higher","serious",""
"5216","Demographic control","B","31","male","german","employed_full","no_student","degree","serious",""
"5297","Demographic control","A","22","non-binary","german","student","other","higher","serious",""
"5335","Demographic control","B","26","female","german","employed_part","no_student","degree","serious",""
"5397","Demographic control","A","20","male","german","employed_full","no_student","degree","serious",""
"5465","Demographic control","B","34","female","german","employed_part","no_student","degree","serious",""
"5303","Demographic control","A","37","female","german","employed_full","no_student","higher","serious",""
"5498","Demographic control","B","23","female","german","student","other","higher","serious",""
"5438","Demographic control","A","20","female","german","student","subject08","higher","serious",""
"5503","Demographic control","A","25","male","german","student","subject02","higher","serious",""
"5294","Demographic control","A","32","non-binary","german","employed_self","subject06","degree","serious",""
"5311","Demographic control","B","20","male","german","student","other","higher","serious",""
"5346","Demographic control","B","26","male","german","employed_part","no_student","degree","serious",""
"5477","Demographic control","B","19","female","german","student","other","higher","serious",""
"5240","Demographic control","A","18","male","german","pupil","no_student","secondary","serious",""
"5417","Demographic control","A","20","female","german","student","no_ans","higher","serious",""
"5355","Demographic control","A","20","male","german","student","other","higher","serious",""
"5248","Demographic control","A","29","female","german","employed_full","no_student","degree","serious",""
"5391","Demographic control","B","24","female","german","student","subject01","higher","serious",""
"5289","Demographic control","B","52","female","german","employed_self","no_student","degree","serious",""
"5471","Demographic control","A","34","female","german","employed_full","subject07","higher","serious",""
"5219","Demographic control","A","41","male","german","employed_full","no_student","higher","serious",""
"5320","Demographic control","B","19","male","german","student","other","higher","serious",""
"5249","Demographic control","B","25","female","german","student","subject04","degree","serious",""
"5205","Demographic control","A","24","female","german","student","other","degree","serious",""
"5228","Demographic control","A","27","female","german","unemployed","no_student","secondary","serious",""
"5430","Demographic control","B","24","female","german","student","subject07","degree","serious",""
"5217","Demographic control","B","23","female","german","employed_full","no_student","secondary","serious",""
"5267","Demographic control","A","35","male","german","employed_part","no_student","higher","serious",""
"5354","Demographic control","A","24","female","german","student","subject07","higher","serious",""
"5367","Demographic control","A","37","male","german","employed_full","no_student","vocation_train","serious",""
"5324","Demographic control","A","21","female","german","student","subject04","degree","serious",""
